@RELATION AuthorRecognition

@ATTRIBUTE ExclamationSentences REAL
@ATTRIBUTE InverseSentences REAL
@ATTRIBUTE NegatifSentences REAL
@ATTRIBUTE Connectives REAL
@ATTRIBUTE Nums REAL
@ATTRIBUTE Pronouns REAL
@ATTRIBUTE QuestionWords REAL
@ATTRIBUTE Abbreviations REAL
@ATTRIBUTE Times REAL
@ATTRIBUTE ColonSize REAL
@ATTRIBUTE CommaSize REAL
@ATTRIBUTE EllipsisPointSize REAL
@ATTRIBUTE HypenSize REAL
@ATTRIBUTE PointSize REAL
@ATTRIBUTE QuotationSize REAL
@ATTRIBUTE SemicolonSize REAL
@ATTRIBUTE ExlamationSize REAL
@ATTRIBUTE ParanthesisSize REAL
@ATTRIBUTE QuestionMarkSize REAL
@ATTRIBUTE CapitalLetterSize REAL
@ATTRIBUTE AverageSentencesLength REAL
@ATTRIBUTE AverageWordCountPerSentences REAL
@ATTRIBUTE AverageWordLength REAL
@ATTRIBUTE Dugasts REAL
@ATTRIBUTE Guiard REAL
@ATTRIBUTE Maas REAL
@ATTRIBUTE Rubet REAL
@ATTRIBUTE Sichel REAL
@ATTRIBUTE TypeTokenRatio REAL
@ATTRIBUTE AUTHOR {Taha-Akyol,Mehmet-Ali-Birand,Leyla-İpekçi,Ekrem-Dumanlı,Rasim-Ozan,Mehmet-Barlas,A-Turan-Alkan,Can-Ataklı,Reha-Muhtar,Rıdvan-Dilmen,Haşmet-Babaoğlu,Meryem-Koray,Nazlı-Ilıcak,Gözde-Bedeloğlu,Nazan-Bekiroğlu,Mehmet-Demirkol,Okay-Karacan,Hüseyin-Gülerce,İclal-Aydın,Ahmet-Çakar}

@DATA
92.0,740.0,259.0,3541.0,38.0,20.0,168.0,0.0,23.0,0.0,350.0,51.0,0.0,310.0,235.0,0.0,28.0,0.0,22.0,17.0,87.0,11.0,6.0,745.0,1995.0,36.0,606.0,84.0,75.0,Leyla-İpekçi
90.0,636.0,303.0,2021.0,43.0,54.0,0.0,0.0,15.0,17.0,348.0,17.0,0.0,517.0,26.0,1785.0,53.0,0.0,0.0,11.0,74.0,9.0,6.0,761.0,2030.0,36.0,604.0,99.0,72.0,Leyla-İpekçi
0.0,314.0,600.0,2834.0,42.0,33.0,0.0,944.0,25.0,10.0,377.0,10.0,0.0,377.0,224.0,0.0,0.0,0.0,0.0,12.0,144.0,18.0,6.0,757.0,2004.0,36.0,603.0,67.0,74.0,Leyla-İpekçi
47.0,587.0,253.0,2204.0,92.0,47.0,0.0,0.0,22.0,0.0,364.0,0.0,16.0,483.0,84.0,0.0,25.0,0.0,25.0,11.0,75.0,10.0,6.0,760.0,2051.0,36.0,606.0,106.0,72.0,Leyla-İpekçi
23.0,309.0,380.0,3478.0,19.0,36.0,173.0,0.0,27.0,29.0,281.0,9.0,9.0,368.0,281.0,970.0,9.0,0.0,0.0,14.0,106.0,13.0,6.0,733.0,1897.0,36.0,602.0,83.0,72.0,Leyla-İpekçi
15.0,593.0,343.0,1713.0,43.0,35.0,623.0,155.0,10.0,13.0,386.0,34.0,0.0,372.0,103.0,689.0,6.0,0.0,75.0,11.0,76.0,10.0,6.0,766.0,2119.0,36.0,608.0,102.0,75.0,Leyla-İpekçi
0.0,520.0,420.0,1970.0,22.0,59.0,1149.0,0.0,24.0,9.0,299.0,18.0,9.0,392.0,149.0,0.0,0.0,18.0,102.0,16.0,95.0,12.0,6.0,744.0,1916.0,36.0,601.0,93.0,70.0,Leyla-İpekçi
0.0,733.0,333.0,1897.0,20.0,51.0,1707.0,759.0,9.0,9.0,284.0,0.0,19.0,352.0,235.0,0.0,0.0,19.0,78.0,15.0,97.0,11.0,6.0,723.0,1990.0,37.0,611.0,91.0,78.0,Leyla-İpekçi
0.0,658.0,256.0,1569.0,61.0,61.0,313.0,0.0,12.0,24.0,268.0,24.0,0.0,469.0,170.0,609.0,0.0,12.0,24.0,16.0,54.0,7.0,5.0,751.0,1901.0,36.0,598.0,95.0,68.0,Leyla-İpekçi
45.0,659.0,272.0,2546.0,40.0,47.0,0.0,0.0,22.0,23.0,231.0,23.0,17.0,242.0,416.0,0.0,11.0,34.0,0.0,14.0,109.0,13.0,6.0,740.0,1940.0,36.0,604.0,93.0,72.0,Leyla-İpekçi
